RMSE,MAE,MAPE,Model,Column
903511.9391480534,836184.1096911114,2.906603504119091,prophet,Total economically active level
1205283.5952775471,1044263.7812819451,3.90556241919288,prophet,Total in employment level
613251.3770222252,519678.17086492537,30.956653117541734,prophet,Unemployed level
359209.8206885133,287666.4676376807,3.3468076894122754,prophet,Economically inactive level
0.9942504824162014,0.7041137619974595,0.9198940892563034,prophet,Economic activity rate
2.626151680205559,2.164359074018046,3.0616163840752875,prophet,Employment rate
2.183266647990078,1.8307501010231597,30.000173021745102,prophet,Unemployment rate
0.9731765315824116,0.6923109504277561,2.9616357601166543,prophet,Economic inactivity rate
942401.8364639132,848302.2500553543,2.262627696691329,arima,All aged 16 to 64 level
881599.3728449459,782519.2754456444,2.742468056581433,arima,Total economically active level
1190138.1991949764,957318.9454981883,3.6305632544308026,arima,Total in employment level
